Year,Miles Per Charge (MPC),BestFit
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2021,110,263.749
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,337,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
2020,330,240.38
